"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","genre"
"63",0.628,0.797,11,-3.953,0,0.0596,0.0364,0,0.104,0.321,106.93,"audio_features","7EI6Iki24tBHAMxtb4xQN2","spotify:track:7EI6Iki24tBHAMxtb4xQN2","https://api.spotify.com/v1/tracks/7EI6Iki24tBHAMxtb4xQN2","https://api.spotify.com/v1/audio-analysis/7EI6Iki24tBHAMxtb4xQN2",215064,4,"pop"
"64",0.849,0.581,1,-5.243,0,0.0767,0.189,0.00000361,0.0805,0.779,110.008,"audio_features","32DGGj6KlNuBr6WaqRxpxi","spotify:track:32DGGj6KlNuBr6WaqRxpxi","https://api.spotify.com/v1/tracks/32DGGj6KlNuBr6WaqRxpxi","https://api.spotify.com/v1/audio-analysis/32DGGj6KlNuBr6WaqRxpxi",198237,4,"pop"
"65",0.728,0.668,2,-5.02,1,0.126,0.0805,0.0000149,0.102,0.162,100.537,"audio_features","4ofvoCdXq99vpMZO4Cfp8x","spotify:track:4ofvoCdXq99vpMZO4Cfp8x","https://api.spotify.com/v1/tracks/4ofvoCdXq99vpMZO4Cfp8x","https://api.spotify.com/v1/audio-analysis/4ofvoCdXq99vpMZO4Cfp8x",211440,4,"pop"
"66",0.757,0.748,8,-5.794,0,0.473,0.17,0,0.0759,0.693,90.052,"audio_features","5UEnHoDYpsxlfzWLZIc7LD","spotify:track:5UEnHoDYpsxlfzWLZIc7LD","https://api.spotify.com/v1/tracks/5UEnHoDYpsxlfzWLZIc7LD","https://api.spotify.com/v1/audio-analysis/5UEnHoDYpsxlfzWLZIc7LD",221013,4,"pop"
"67",0.815,0.816,2,-5.474,1,0.269,0.00299,0,0.159,0.498,181.967,"audio_features","2UVbBKQOdFAekPTRsnkzcf","spotify:track:2UVbBKQOdFAekPTRsnkzcf","https://api.spotify.com/v1/tracks/2UVbBKQOdFAekPTRsnkzcf","https://api.spotify.com/v1/audio-analysis/2UVbBKQOdFAekPTRsnkzcf",190288,4,"pop"
"68",0.748,0.546,8,-8.134,1,0.106,0.59,0,0.112,0.413,140.005,"audio_features","7wrDRQgHlvDnimrRHfQZxt","spotify:track:7wrDRQgHlvDnimrRHfQZxt","https://api.spotify.com/v1/tracks/7wrDRQgHlvDnimrRHfQZxt","https://api.spotify.com/v1/audio-analysis/7wrDRQgHlvDnimrRHfQZxt",220880,4,"pop"
"69",0.771,0.696,9,-6.258,0,0.0755,0.00256,0.00000971,0.179,0.656,116.054,"audio_features","6tF92PMv01Ug9Dh8Rmy6nH","spotify:track:6tF92PMv01Ug9Dh8Rmy6nH","https://api.spotify.com/v1/tracks/6tF92PMv01Ug9Dh8Rmy6nH","https://api.spotify.com/v1/audio-analysis/6tF92PMv01Ug9Dh8Rmy6nH",208827,4,"pop"
"70",0.845,0.709,10,-4.547,0,0.0714,0.0233,0,0.094,0.62,98.062,"audio_features","2z4pcBLQXF2BXKFvd0BuB6","spotify:track:2z4pcBLQXF2BXKFvd0BuB6","https://api.spotify.com/v1/tracks/2z4pcBLQXF2BXKFvd0BuB6","https://api.spotify.com/v1/audio-analysis/2z4pcBLQXF2BXKFvd0BuB6",187521,4,"pop"
"71",0.724,0.895,7,-3.617,1,0.0411,0.0322,0,0.097,0.64,96.022,"audio_features","1zsG4eaZmkA1dvjDDsAGLK","spotify:track:1zsG4eaZmkA1dvjDDsAGLK","https://api.spotify.com/v1/tracks/1zsG4eaZmkA1dvjDDsAGLK","https://api.spotify.com/v1/audio-analysis/1zsG4eaZmkA1dvjDDsAGLK",173720,4,"pop"
"72",0.715,0.802,11,-4.647,0,0.0394,0.139,0,0.177,0.327,124.989,"audio_features","7EmGUiUaOSGDnUUQUDrOXC","spotify:track:7EmGUiUaOSGDnUUQUDrOXC","https://api.spotify.com/v1/tracks/7EmGUiUaOSGDnUUQUDrOXC","https://api.spotify.com/v1/audio-analysis/7EmGUiUaOSGDnUUQUDrOXC",197993,4,"pop"
