"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","Position","Track.Name","Artist","Streams","URL"
"58",0.798,0.582,10,-7.38,1,0.103,0.29,0,0.153,0.766,126.075,"audio_features","6PGoSes0D9eUDeeAafB2As","spotify:track:6PGoSes0D9eUDeeAafB2As","https://api.spotify.com/v1/tracks/6PGoSes0D9eUDeeAafB2As","https://api.spotify.com/v1/audio-analysis/6PGoSes0D9eUDeeAafB2As",213400,4,58,"LOVE. FEAT. ZACARI.","Kendrick Lamar",1127225,"https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As"
"59",0.258,0.437,11,-6.593,0,0.039,0.101,0.00000127,0.106,0.0967,180.043,"audio_features","1j4kHkkpqZRBwE0A4CN4Yv","spotify:track:1j4kHkkpqZRBwE0A4CN4Yv","https://api.spotify.com/v1/tracks/1j4kHkkpqZRBwE0A4CN4Yv","https://api.spotify.com/v1/audio-analysis/1j4kHkkpqZRBwE0A4CN4Yv",239000,4,59,"Dusk Till Dawn - Radio Edit","ZAYN",1104179,"https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv"
"60",0.798,0.539,1,-6.351,1,0.0421,0.199,0.0000166,0.165,0.394,136.949,"audio_features","5Z3GHaZ6ec9bsiI5BenrbY","spotify:track:5Z3GHaZ6ec9bsiI5BenrbY","https://api.spotify.com/v1/tracks/5Z3GHaZ6ec9bsiI5BenrbY","https://api.spotify.com/v1/audio-analysis/5Z3GHaZ6ec9bsiI5BenrbY",202547,4,60,"Young Dumb & Broke","Khalid",1101697,"https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY"
"61",0.627,0.812,6,-4.215,1,0.0358,0.198,0,0.212,0.504,123.071,"audio_features","3a1lNhkSLSkpJE4MSHpDu9","spotify:track:3a1lNhkSLSkpJE4MSHpDu9","https://api.spotify.com/v1/tracks/3a1lNhkSLSkpJE4MSHpDu9","https://api.spotify.com/v1/audio-analysis/3a1lNhkSLSkpJE4MSHpDu9",220293,4,61,"Congratulations","Post Malone",1096669,"https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9"
"62",0.587,0.299,8,-7.365,1,0.0263,0.779,0,0.123,0.356,94.992,"audio_features","1bhUWB0zJMIKr9yVPrkEuI","spotify:track:1bhUWB0zJMIKr9yVPrkEuI","https://api.spotify.com/v1/tracks/1bhUWB0zJMIKr9yVPrkEuI","https://api.spotify.com/v1/audio-analysis/1bhUWB0zJMIKr9yVPrkEuI",259550,3,62,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",1083805,"https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI"
"63",0.628,0.797,11,-3.953,0,0.0596,0.0364,0,0.104,0.321,106.93,"audio_features","7EI6Iki24tBHAMxtb4xQN2","spotify:track:7EI6Iki24tBHAMxtb4xQN2","https://api.spotify.com/v1/tracks/7EI6Iki24tBHAMxtb4xQN2","https://api.spotify.com/v1/audio-analysis/7EI6Iki24tBHAMxtb4xQN2",215064,4,63,"Anywhere","Rita Ora",1082756,"https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2"
"64",0.823,0.419,10,-10.358,0,0.165,0.416,0,0.105,0.277,119.958,"audio_features","6NWl2m8asvH83xjuXVNsuG","spotify:track:6NWl2m8asvH83xjuXVNsuG","https://api.spotify.com/v1/tracks/6NWl2m8asvH83xjuXVNsuG","https://api.spotify.com/v1/audio-analysis/6NWl2m8asvH83xjuXVNsuG",187453,4,64,"Betrayed","Lil Xan",1075543,"https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG"
"65",0.838,0.771,1,-3.791,1,0.244,0.0117,0,0.0853,0.405,175.957,"audio_features","2DQ1ITjI0YoLFzuADN1ZBW","spotify:track:2DQ1ITjI0YoLFzuADN1ZBW","https://api.spotify.com/v1/tracks/2DQ1ITjI0YoLFzuADN1ZBW","https://api.spotify.com/v1/audio-analysis/2DQ1ITjI0YoLFzuADN1ZBW",245387,4,65,"No Limit","G-Eazy",1074241,"https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW"
"66",0.854,0.484,1,-9.054,1,0.213,0.00763,0,0.097,0.302,130.087,"audio_features","5cXg9IQS34FzLVdHhp7hu7","spotify:track:5cXg9IQS34FzLVdHhp7hu7","https://api.spotify.com/v1/tracks/5cXg9IQS34FzLVdHhp7hu7","https://api.spotify.com/v1/audio-analysis/5cXg9IQS34FzLVdHhp7hu7",221827,4,66,"Big Shot (with Travis Scott)","Kendrick Lamar",1024568,"https://open.spotify.com/track/5cXg9IQS34FzLVdHhp7hu7"
"67",0.909,0.546,8,-7.513,1,0.175,0.000704,0.000823,0.36,0.0986,138.043,"audio_features","75FDPwaULRdYDn4StFN2rT","spotify:track:75FDPwaULRdYDn4StFN2rT","https://api.spotify.com/v1/tracks/75FDPwaULRdYDn4StFN2rT","https://api.spotify.com/v1/audio-analysis/75FDPwaULRdYDn4StFN2rT",224613,4,67,"Bartier Cardi (feat. 21 Savage)","Cardi B",1023806,"https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT"
"68",0.855,0.664,9,-7.11,0,0.0607,0.165,0.0000397,0.0937,0.626,98.015,"audio_features","5Y9fnynLlIvqtM710MHzfz","spotify:track:5Y9fnynLlIvqtM710MHzfz","https://api.spotify.com/v1/tracks/5Y9fnynLlIvqtM710MHzfz","https://api.spotify.com/v1/audio-analysis/5Y9fnynLlIvqtM710MHzfz",226800,4,68,"Síguelo Bailando","Ozuna",1013324,"https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz"
"69",0.849,0.581,1,-5.243,0,0.0767,0.189,0.00000361,0.0805,0.779,110.008,"audio_features","32DGGj6KlNuBr6WaqRxpxi","spotify:track:32DGGj6KlNuBr6WaqRxpxi","https://api.spotify.com/v1/tracks/32DGGj6KlNuBr6WaqRxpxi","https://api.spotify.com/v1/audio-analysis/32DGGj6KlNuBr6WaqRxpxi",198237,4,69,"How Long","Charlie Puth",1011442,"https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi"
"70",0.615,0.833,9,-3.377,1,0.39,0.0524,0,0.171,0.538,212.117,"audio_features","6MNGxu8MprKGkchUchkJsy","spotify:track:6MNGxu8MprKGkchUchkJsy","https://api.spotify.com/v1/tracks/6MNGxu8MprKGkchUchkJsy","https://api.spotify.com/v1/audio-analysis/6MNGxu8MprKGkchUchkJsy",181733,4,70,"Machika","J Balvin",1007931,"https://open.spotify.com/track/6MNGxu8MprKGkchUchkJsy"
"71",0.807,0.633,10,-6.016,0,0.0929,0.0564,0,0.107,0.325,138.038,"audio_features","7rwX0O3RlxqqIjQM8evm5E","spotify:track:7rwX0O3RlxqqIjQM8evm5E","https://api.spotify.com/v1/tracks/7rwX0O3RlxqqIjQM8evm5E","https://api.spotify.com/v1/audio-analysis/7rwX0O3RlxqqIjQM8evm5E",311726,4,71,"Solita","Ozuna",978175,"https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E"
"72",0.679,0.435,6,-8.238,0,0.0449,0.237,0.00000154,0.112,0.326,89.996,"audio_features","1USJRpWDFhxwhCajPXBeel","spotify:track:1USJRpWDFhxwhCajPXBeel","https://api.spotify.com/v1/tracks/1USJRpWDFhxwhCajPXBeel","https://api.spotify.com/v1/audio-analysis/1USJRpWDFhxwhCajPXBeel",190547,4,72,"You Owe Me","The Chainsmokers",974730,"https://open.spotify.com/track/1USJRpWDFhxwhCajPXBeel"
"73",0.859,0.651,1,-5.395,1,0.124,0.155,0,0.14,0.487,97.053,"audio_features","2tPcTFiQF9MbVUyjZ3zDhA","spotify:track:2tPcTFiQF9MbVUyjZ3zDhA","https://api.spotify.com/v1/tracks/2tPcTFiQF9MbVUyjZ3zDhA","https://api.spotify.com/v1/audio-analysis/2tPcTFiQF9MbVUyjZ3zDhA",219307,4,73,"Paramedic!","SOB X RBE",973392,"https://open.spotify.com/track/2tPcTFiQF9MbVUyjZ3zDhA"
"74",0.674,0.506,6,-10.532,1,0.0434,0.173,0,0.0866,0.183,145.965,"audio_features","5WoaF1B5XIEnWfmb5NZikf","spotify:track:5WoaF1B5XIEnWfmb5NZikf","https://api.spotify.com/v1/tracks/5WoaF1B5XIEnWfmb5NZikf","https://api.spotify.com/v1/audio-analysis/5WoaF1B5XIEnWfmb5NZikf",259333,4,74,"Sky Walker","Miguel",959945,"https://open.spotify.com/track/5WoaF1B5XIEnWfmb5NZikf"
"75",0.765,0.688,4,-5.566,1,0.0841,0.633,0,0.0734,0.434,90.013,"audio_features","42CeaId2XNlxugDvyqHfDf","spotify:track:42CeaId2XNlxugDvyqHfDf","https://api.spotify.com/v1/tracks/42CeaId2XNlxugDvyqHfDf","https://api.spotify.com/v1/audio-analysis/42CeaId2XNlxugDvyqHfDf",229573,4,75,"Candy Paint","Post Malone",951535,"https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf"
